PPP_USERNAME_masked_masked,INSERTED_DATE,Rule1_SensorError,Rule2_Critical,Rule3_Degrading,Rule4_SuddenDrop,Rule5_RX_Instability,Rule6_PersistentLowSignal,Rule7_FrequentFault,Final System Output,Same Day Fault,1st Week Fault,2nd Week fault,3rd week fault,4th week fault,Final Fault Result,TP,TN,FP,FN
PHONE_1000,2025-07-02,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
PHONE_1000,2025-07-03,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
PHONE_1000,2025-07-04,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
PHONE_10000,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_10000,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_10000,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100001,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100001,2025-07-03,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
PHONE_100001,2025-07-04,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
PHONE_100002,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100002,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100002,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100003,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100003,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100003,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100007,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100007,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100008,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100008,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100008,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100009,2025-07-02,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
PHONE_100009,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHONE_100009,2025-07-04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
